idc;grad;idg;idm;idd;isg;ism;isd;Grad.;Mest.;Dout.;InstG;InstM;InstD;
560;150;120;127;20;8;8;Engenharia Elétrica;Engenharia Elétrica;Engenharia Elétrica;Universidade Estadual Paulista Júlio de Mesquita ;Universidade de São Paulo;Universidade de São Paulo;
2009;1250;120;127;10;10;10;Bacharel em Física Aplicada;Engenharia Elétrica;Engenharia Elétrica;Universidade Estadual de Campinas;Universidade Estadual de Campinas;Universidade Estadual de Campinas;
570;42;1254;1255;95;8;8;Arquitetura e Urbanismo;Engenharia de Transportes;Engenharia de Transportes;Universidade do Vale do Rio dos Sinos;Universidade de São Paulo;Universidade de São Paulo;
577;48;141;142;43;43;1;Engenharia Civil;Ciência e Engenharia de Materiais;Ciência e Engenharia de Materiais;Universidade do Estado de Santa Catarina;Universidade do Estado de Santa Catarina;Universidade Federal de Santa Catarina;
579;459;16;17;10;10;10;Engenharia Mecanica;Engenharia Mecânica;Engenharia Mecânica;Universidade Estadual de Campinas;Universidade Estadual de Campinas;Universidade Estadual de Campinas;
2065;1286;1337;1338;8;491;275;Engenharia Aeronáutica;Matemática Computacional;Pós-graduação em Engenharia mecânica;Universidade de São Paulo;Institudo de Ciências Matemáticas e Computação;Escola de Engenharia de São Carlos;
630;1346;0;0;8;0;0;Mecânica das Estruturas Navais e Oceânicas;;;Universidade de São Paulo;;;
638;1361;1171;0;1;1;0;Engenharia Ambiental e Sanitária;Programa de Pós-Graduação em Engenharia Ambiental;;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;;
2096;8;1392;17;258;258;8;Engenharia de Produção Mecânica;Engenharia de Produção Mecânica;Engenharia Mecânica;Universidade Metodista de Piracicaba;Universidade Metodista de Piracicaba;Universidade de São Paulo;
2119;1424;120;1103;523;1;1;Ingeniería Eléctrica;Engenharia Elétrica;PROGRAMA DE POS GRADUAÇÃO EM ENGENHARIA ELETRICA;Universidad Nacional de San Agustín de Arequipa;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
699;347;10;11;1;1;1;Economia;Engenharia de Produção;Engenharia de Produção;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
2144;988;46;47;8;540;8;Bacharelado em Física;Física;Física;Universidade de São Paulo;Instituto de Física da Universidade de São Paulo;Universidade de São Paulo;
705;15;16;17;1;1;1;Engenharia Mecânica;Engenharia Mecânica;Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
2171;672;46;47;50;4;4;Bacharelado Em Física;Física;Física;Universidade Estadual de Ponta Grossa;Universidade Federal do Paraná;Universidade Federal do Paraná;
2179;48;1506;1507;558;137;137;Engenharia Civil;Engenharia de Estruturas;Engenharia de Estruturas;Universidade do Estado de Mato Grosso;Universidade Federal de Minas Gerais;Universidade Federal de Minas Gerais;
737;1508;16;17;559;1;1;Ingegneria Meccanica;Engenharia Mecânica;Engenharia Mecânica;Universitá degli Studi di Cagliari;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
2186;163;148;58;20;564;564;Matemática;Matemática;Matemática;Universidade Estadual Paulista Júlio de Mesquita ;Instituto de Ciências Matemáticas e de Computaç;Instituto de Ciências Matemáticas e de Computaç;
780;1559;1560;0;8;1;0;Engenharia Naval;Engenharia e Ciências Mecânicas;;Universidade de São Paulo;Universidade Federal de Santa Catarina;;
2213;860;46;47;43;43;4;Licenciatura Plena em Física;Física;Física;Universidade do Estado de Santa Catarina;Universidade do Estado de Santa Catarina;Universidade Federal do Paraná;
812;1591;1592;1593;193;8;8;Bacharelado em Informática;Ciências da Computação e Matemática Computacional;Ciências da Computação e Matemática Computacional;Universidade Estadual do Oeste do Paraná;Universidade de São Paulo;Universidade de São Paulo;
